time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-06-25 09:30:00-04:00,SentimentAnalysisTrader,7458e681fab94edc8ea618e60262427c,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,SentimentAnalysisTrader,8f27449cccf242a491a09fd3e8717420,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,SentimentAnalysisTrader,f6147948faba499fab71bb8b6aebc437,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,SentimentAnalysisTrader,beb074b569bc43de9192f4db4f0c322f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,SentimentAnalysisTrader,f6147948faba499fab71bb8b6aebc437,SPY,buy,market,fill,1,day,0.0,1,stock,306.1600036621094,628.0,0.0
2020-06-25 09:30:00-04:00,SentimentAnalysisTrader,beb074b569bc43de9192f4db4f0c322f,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,580.0,0.0
2020-12-01 09:30:00-05:00,SentimentAnalysisTrader,ce0123ff95c94db595e830dae5b8caa0,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-12-01 09:30:00-05:00,SentimentAnalysisTrader,45d46987c286439eb81ac5647d6f380d,SPY,sell,limit,fill,1,day,0.0,1,stock,367.3920043945312,580.0,0.0
2021-07-16 09:30:00-04:00,SentimentAnalysisTrader,8e5a46cb7a554fc181c1fa673db864c3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,SentimentAnalysisTrader,8e5a46cb7a554fc181c1fa673db864c3,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.010009765625,228.0,0.0
2021-10-25 08:30:00-04:00,SentimentAnalysisTrader,7758fc63b222480780ae65a04559b7be,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-10-25 08:30:00-04:00,SentimentAnalysisTrader,f20f467702fc441aa1bb5565200ebc82,SPY,buy,stop,fill,1,day,0.0,1,stock,457.8105102539063,228.0,0.0
2022-01-21 09:30:00-05:00,SentimentAnalysisTrader,9ade3410806441f2b74fca4f29eedd4a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,SentimentAnalysisTrader,9ade3410806441f2b74fca4f29eedd4a,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.55999755859375,217.0,0.0
2022-03-04 09:30:00-05:00,SentimentAnalysisTrader,490a5abc79884233808328e08f3e17e8,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,SentimentAnalysisTrader,490a5abc79884233808328e08f3e17e8,SPY,sell,market,fill,1,gtc,0.0,1,stock,431.75,336.0,0.0
2022-03-18 09:30:00-04:00,SentimentAnalysisTrader,b86251c1605e42a7a25fd9a32627944f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-18 09:30:00-04:00,SentimentAnalysisTrader,b86251c1605e42a7a25fd9a32627944f,SPY,sell,market,fill,1,gtc,0.0,1,stock,438.0,497.0,0.0
2022-03-24 09:30:00-04:00,SentimentAnalysisTrader,2d57846868c948da90361c7fd5666b67,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-24 09:30:00-04:00,SentimentAnalysisTrader,2d57846868c948da90361c7fd5666b67,SPY,sell,market,fill,1,gtc,0.0,1,stock,451.1600036621094,724.0,0.0
2022-03-28 08:30:00-04:00,SentimentAnalysisTrader,08f3920b0a49499784de61fb3dd43292,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,SentimentAnalysisTrader,9f2af140039b4f8baebc268ad9a658b9,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,336.0,0.0
2022-03-28 08:30:00-04:00,SentimentAnalysisTrader,a9b6277ad67e4ba29c1d0ceb6b0d1be1,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,SentimentAnalysisTrader,b142dd1c6a8c45f992870979b68093a4,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,497.0,0.0
2022-04-22 09:30:00-04:00,SentimentAnalysisTrader,30c08fa0de2f47b8b1742b6fcc8d9e96,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-22 09:30:00-04:00,SentimentAnalysisTrader,30c08fa0de2f47b8b1742b6fcc8d9e96,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,683.0,0.0
2022-04-27 09:30:00-04:00,SentimentAnalysisTrader,071a04ef8f1247e19a6ce7fd724a1b61,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-27 09:30:00-04:00,SentimentAnalysisTrader,071a04ef8f1247e19a6ce7fd724a1b61,SPY,sell,market,fill,1,gtc,0.0,1,stock,422.2900085449219,1060.0,0.0
